#Opcount,"With GC","No GC"
1000000 1832506 110787
2000000 3013718 121382
3000000 7577448 244167
4000000 4902826 384506
5000000 3640370 501100
6000000 11245750 606764
7000000 4471215 849094
8000000 1981502 1202891
9000000 2750863 1503815
10000000 2544174 1605210
11000000 5609175 1702049
12000000 4464435 1771246
13000000 13786097 1838640
14000000 5439703 2092206
15000000 2946070 2390844
16000000 3846967 2653212
17000000 10322001 2726034
18000000 13833073 2786161
19000000 8312761 2858263
20000000 4884059 2920091
21000000 3661059 3059561
22000000 5321932 3350400
23000000 4134950 3619290
24000000 7430503 3719147
25000000 4774133 3804925
26000000 5488290 3879777
27000000 7531587 4208969
28000000 7889224 4474960
29000000 17118096 4547941
30000000 6826039 4655457
31000000 16415819 4729306
32000000 6379068 4982094
33000000 6254845 5239918
34000000 6745809 5340600
35000000 6583891 5455523
36000000 6166060 5623564
37000000 7409295 5857696
38000000 9533529 5973388
39000000 7141335 6019823
40000000 6849071 6215568
41000000 9215218 6299827
42000000 7067396 6424229
43000000 6743719 6680018
44000000 6945344 6906104
45000000 12388995 6981649
46000000 9742570 7062188
47000000 11206399 7138308
48000000 9825983 7338730
49000000 9121207 7593786
50000000 10044543 7838199
51000000 11939218 7918651
52000000 16266394 7988117
53000000 18002714 8033321
54000000 16204452 8080817
55000000 11755783 8153270
56000000 10785211 8482030
57000000 12495715 8730120
58000000 10487459 8872311
59000000 10147813 8916992
60000000 10560694 8989807
61000000 11927573 9054429
62000000 11434726 9104405
63000000 10507944 9286508
64000000 10673644 9534014
65000000 11542692 9757410
66000000 12209387 9799340
67000000 12096222 9844688
68000000 12018801 9898901
69000000 11781347 9949260
70000000 11684884 9994350
71000000 12035280 10185431
72000000 11024628 10432323
73000000 10768134 10618962
74000000 18806820 10665925
75000000 16177019 10713991
76000000 15121979 10780716
77000000 12269542 10852037
78000000 11335230 10898900
79000000 14151652 11070934
80000000 12790978 11306132
81000000 19287907 11523964
82000000 19846489 11568743
83000000 13959142 11615928
84000000 13994803 11670511
85000000 12116314 11741697
86000000 15727106 11844636
87000000 12329282 12088525
88000000 12320209 12319976
89000000 13414518 12410804
90000000 13405067 12461377
91000000 12945101 12512881
92000000 13610281 12568797
93000000 14963308 12618422
94000000 14501974 12730022
95000000 13677409 12963835
96000000 13741331 13193250
97000000 15426465 13279865
98000000 14959389 13350715
99000000 14025056 13398274
100000000 14553881 13446928
101000000 15672634 13487637
102000000 15440665 13721500
103000000 14578036 13949559
104000000 15393909 14117195
105000000 17536246 14156812
106000000 14792281 14209655
107000000 16808870 14277012
108000000 15910298 14343859
109000000 18023471 14453912
110000000 17007309 14686556
111000000 15432444 14910878
112000000 18209542 15003691
113000000 19936107 15069830
114000000 15469002 15102256
115000000 15861035 15148177
116000000 15481866 15206862
117000000 19351964 15306856
118000000 17356873 15532288
119000000 18244331 15764027
120000000 16923010 15850138
121000000 18144754 15915080
122000000 19662598 15955779
123000000 19762175 15995461
124000000 19892857 16045613
125000000 16586048 16139351
126000000 18809211 16365429
127000000 21872005 16576310
128000000 19988380 16689676
129000000 20836056 16734092
130000000 19032033 16800330
131000000 17046456 16864414
132000000 17631641 16904041
133000000 19182716 17058757
134000000 21567970 17270283
135000000 20654722 17473786
136000000 21453562 17543398
137000000 19387902 17589174
138000000 21201002 17630233
139000000 19497313 17679141
140000000 20740840 17734529
141000000 18021040 17956808
142000000 22165551 18164773
143000000 21745840 18316288
144000000 21630823 18353542
145000000 21352782 18408896
146000000 19888189 18474442
147000000 19888708 18540223
148000000 22394687 18644055
149000000 20970600 18866918
150000000 21460852 19074939
151000000 22594303 19156996
152000000 21840267 19223609
153000000 21213483 19288182
154000000 19497819 19337330
155000000 20363289 19379027
156000000 20640994 19562115
157000000 20028326 19767729
158000000 20963415 19963899
159000000 20137015 20004335
160000000 22538801 20047604
161000000 22708283 20090461
162000000 20764664 20155600
163000000 20742321 20251259
164000000 21602657 20463261
165000000 22005256 20669333
166000000 22932575 20754008
167000000 22882571 20821350
168000000 23025220 20887962
169000000 21983052 20938926
170000000 22387951 20985995
171000000 21588006 21161231
172000000 26218834 21378425
173000000 22325829 21563951
174000000 25629928 21608250
175000000 24401356 21649570
176000000 22706561 21688213
177000000 23122473 21752442
178000000 23888003 21851049
179000000 25454541 22068870
180000000 24523012 22275243
181000000 22935671 22369959
182000000 26730364 22425153
183000000 25721903 22490114
184000000 23962241 22553001
185000000 24052240 22594804
186000000 25678691 22754314
187000000 24492478 22965334
188000000 25301386 23172534
189000000 26202618 23221470
190000000 26916478 23254499
191000000 26903724 23299166
192000000 25304658 23359216
193000000 24623864 23428628
194000000 26299013 23657356
195000000 25327224 23858165
196000000 25721121 23952176
197000000 26078715 24016047
198000000 26821201 24078429
199000000 25288005 24114684
200000000 25951305 24155136
201000000 25160336 24199643
202000000 26961636 24427880
203000000 26217142 24628088
204000000 24965191 24764897
205000000 25285947 24805996
206000000 27383843 24860693
207000000 27677137 24922806
208000000 26343022 24972941
209000000 28031492 25097704
210000000 25989388 25316734
211000000 28491302 25526396
212000000 27357057 25605205
213000000 26879909 25650896
214000000 28473034 25694328
215000000 28642027 25738131
216000000 28163577 25790098
217000000 26127545 25885789
218000000 28085053 26087561
219000000 27223162 26288058
220000000 28315342 26380545
221000000 27184329 26432492
222000000 28020721 26494699
223000000 27311526 26554584
224000000 27698242 26596701
225000000 29244118 26752935
226000000 28699430 26953451
227000000 32901712 27139906
228000000 28936016 27202680
229000000 32953437 27246825
230000000 31181534 27291548
231000000 30937095 27337277
232000000 34255508 27513479
233000000 29786670 27714176
234000000 28887175 27894923
235000000 33192167 27937599
236000000 33176465 27977424
237000000 29330638 28032956
238000000 30532246 28095857
239000000 28824910 28114235
240000000 32908448 28136817
241000000 29657144 28269406
242000000 29205584 28471434
243000000 29210284 28670459
244000000 32811305 28683425
245000000 34386512 28725216
246000000 31089528 28747631
247000000 29689719 28784743
248000000 34998643 28803075
249000000 34377741 28859658
250000000 33050046 28903557
