#Opcount Total Live
1000000 1180682 79535
2000000 895588 87362
3000000 615980 172411
4000000 2096960 269012
5000000 1965283 351267
6000000 1976126 426532
7000000 1180099 599029
8000000 975769 857404
9000000 1510203 1083339
10000000 1356659 1157932
11000000 3229337 1229360
12000000 1834868 1280130
13000000 2158813 1330120
14000000 2389720 1517192
15000000 2411858 1743464
16000000 2898593 1940879
17000000 2298417 1994284
18000000 2793080 2038478
19000000 3090811 2091760
20000000 2291653 2137527
21000000 2611746 2236295
22000000 2853973 2462434
23000000 2968043 2670908
24000000 2801175 2746128
25000000 4964381 2810146
26000000 3759540 2864074
27000000 3111218 3095472
28000000 4281565 3294722
29000000 3692728 3348968
30000000 4651870 3429096
31000000 5001860 3485437
32000000 4586463 3661517
33000000 4109759 3853046
34000000 5152726 3929221
35000000 4496190 4012508
36000000 4628457 4128226
37000000 4803123 4303265
38000000 5712236 4389141
39000000 4840954 4423068
40000000 4975225 4560190
41000000 5032034 4621742
42000000 5533047 4707830
43000000 4947424 4891937
44000000 6754952 5058204
45000000 5188581 5113877
46000000 5361814 5173094
47000000 5562542 5229275
48000000 7011973 5368583
49000000 7644623 5558186
50000000 7551454 5740175
51000000 7158292 5799369
52000000 6049622 5851530
53000000 7069419 5885686
54000000 7297654 5921860
55000000 7100841 5974700
56000000 7219424 6210794
57000000 8174394 6395869
58000000 6922101 6502481
59000000 6624133 6537139
60000000 7217771 6593743
61000000 7720489 6643481
62000000 7547316 6682122
63000000 8650185 6816031
64000000 8008289 7001956
65000000 9843874 7172275
66000000 9363209 7204222
67000000 9101513 7238736
68000000 8900984 7279728
69000000 8371054 7317877
70000000 8434099 7352432
71000000 8164938 7496268
72000000 9096888 7685899
73000000 8618640 7829775
74000000 8356737 7867004
75000000 8287383 7904869
76000000 9189928 7957226
77000000 9891605 8013115
78000000 9411061 8049689
79000000 8829416 8177867
80000000 10179537 8360008
81000000 9391248 8529347
82000000 9198375 8563906
83000000 9277713 8600209
84000000 8813487 8642421
85000000 9470232 8697687
86000000 9284214 8773785
87000000 9107162 8956578
88000000 11081947 9133738
89000000 10846411 9201808
90000000 10469684 9240395
91000000 10226401 9279728
92000000 10047939 9322377
93000000 9834715 9360103
94000000 10677968 9441194
95000000 10665641 9618382
96000000 10446422 9796026
97000000 12033492 9862931
98000000 10918348 9917876
99000000 10957940 9954993
100000000 11130193 9992913
101000000 10939682 10025008
102000000 10651196 10200862
103000000 10929083 10376222
104000000 11878169 10505507
105000000 10706311 10535801
106000000 10792339 10576333
107000000 11864974 10628291
108000000 11537137 10679635
109000000 12873286 10759724
110000000 12856885 10934790
111000000 11341070 11103060
112000000 12585578 11173253
113000000 11903597 11224437
114000000 12869677 11250163
115000000 11357033 11285234
116000000 13515760 11330256
117000000 11735032 11403624
118000000 12412045 11568643
119000000 13189510 11740265
