#Opcount  181.mcf  197.parser  175.vpr  186.crafty
10000  1.605804907  1.866088707  1.894266688  2.084402431
20000  1.845958074  3.348121695  1.826806014  2.52398358
30000  2.231855  4.762915369  1.922748657  2.992596641
40000  2.615708472  5.939294802  2.000080441  3.445818315
50000  2.993173479  7.024217095  2.111928416  3.851939893
60000  3.406595182  8.047281066  2.215416768  4.309891808
70000  3.773641273  8.933911328  2.341758533  4.604311623
80000  4.115212671  9.911829907  2.449899256  4.961212077
90000  4.514812576  10.64789884  2.59953058  5.376114525
100000  4.894803483  10.32115716  2.726302376  5.763823967
110000  5.265430217  7.977090629  2.871447705  5.932989017
120000  5.61525595  7.485367412  2.991385166  6.188259747
130000  5.953495909  7.069023306  3.094696931  6.522373331
140000  6.275763676  6.562106645  3.133236107  6.788957828
150000  6.590536131  6.714630151  3.149743024  7.157676349
160000  6.964621516  6.411360294  3.191030657  7.569556749
170000  7.328224271  6.201260707  3.239113633  7.916173426
180000  7.682968036  5.998342106  3.303779704  8.059612896
190000  8.03392185  5.8405749  3.340001978  8.130345628
200000  8.373922175  5.74539019  3.382303607  8.308308808
210000  8.707023813  5.679522881  3.403148413  8.548224661
220000  9.046937383  5.590791428  3.434722044  8.796714057
230000  9.361084763  5.60322265  3.467258681  9.121090293
240000  9.685391017  5.537329005  3.484123942  9.403976163
250000  9.999661189  5.538501566  3.501012895  9.574637663
260000  10.30791838  5.556007069  3.50966996  9.925595748
270000  10.60264478  5.532700704  3.535022363  10.26036731
280000  10.90090969  5.563601241  3.577131172  10.60380302
290000  11.20034625  5.535247035  3.614947925  10.91714196
300000  11.55235015  5.542040651  3.596073251  11.22248521
310000  11.88608811  5.559458437  3.600817896  11.44643369
320000  12.23020797  5.55257975  3.64369614  11.31477496
330000  12.5595091  5.582863021  3.643993177  11.30605172
340000  12.88995305  5.574964497  3.652671172  11.50754995
350000  13.21996855  5.604544069  3.670376778  11.64287105
360000  13.55605584  5.625907558  3.684525304  11.91275587
370000  13.87165379  5.646044291  3.711628148  12.08863186
380000  14.19539806  5.638794073  3.74683378  12.23377742
390000  14.51594648  5.665777986  3.765954536  12.51908797
400000  14.83484438  5.692636909  3.790361475  12.80392814
410000  15.14585586  5.592110426  3.813683723  13.0591695
